Week,sumweeklydeath,sumweeklycase,countriesAndTerritories,popData2020,secDoseAdministered
30,6,475,Slovakia,5457873,55969
29,10,343,Slovakia,5457873,53490
28,5,255,Slovakia,5457873,79379
27,6,282,Slovakia,5457873,105295
26,8,319,Slovakia,5457873,147577
25,13,487,Slovakia,5457873,189514
24,53,640,Slovakia,5457873,189887
23,35,1181,Slovakia,5457873,174340
22,65,1677,Slovakia,5457873,138426
21,47,2104,Slovakia,5457873,99881
20,68,2880,Slovakia,5457873,84465
19,205,4321,Slovakia,5457873,81493
18,253,5297,Slovakia,5457873,79118
17,271,7314,Slovakia,5457873,80337
16,389,8897,Slovakia,5457873,82622
15,541,10451,Slovakia,5457873,58067
14,540,12590,Slovakia,5457873,25658
13,529,16390,Slovakia,5457873,7375
12,452,20531,Slovakia,5457873,17657
11,516,25164,Slovakia,5457873,24800
10,692,30724,Slovakia,5457873,37445
41,31,6674,Slovenia,2095861,20469
40,29,5593,Slovenia,2095861,32839
39,48,6191,Slovenia,2095861,15301
38,44,6189,Slovenia,2095861,11355
37,32,7305,Slovenia,2095861,14632
36,18,5872,Slovenia,2095861,12666
35,8,3790,Slovenia,2095861,11774
34,10,2969,Slovenia,2095861,14645
33,8,2108,Slovenia,2095861,16157
32,0,1321,Slovenia,2095861,16311
31,1,833,Slovenia,2095861,16889
30,1,621,Slovenia,2095861,15108
29,1,461,Slovenia,2095861,14788
28,1,379,Slovenia,2095861,20982
27,7,383,Slovenia,2095861,35422
26,0,180,Slovenia,2095861,52327
25,8,259,Slovenia,2095861,49890
24,10,534,Slovenia,2095861,40956
23,19,1066,Slovenia,2095861,63846
22,14,1745,Slovenia,2095861,69385
21,16,1947,Slovenia,2095861,64463
20,23,2379,Slovenia,2095861,40294
19,30,3224,Slovenia,2095861,27032
18,31,4341,Slovenia,2095861,38607
17,53,4659,Slovenia,2095861,41647
16,54,4886,Slovenia,2095861,30382
15,42,5579,Slovenia,2095861,24329
14,43,6365,Slovenia,2095861,2920
13,62,7473,Slovenia,2095861,6514
12,54,6657,Slovenia,2095861,8374
11,45,5709,Slovenia,2095861,19931
10,45,4879,Slovenia,2095861,21206
41,196,10767,Spain,47332614,73065
40,315,12491,Spain,47332614,97729
39,234,14527,Spain,47332614,150542
38,446,17055,Spain,47332614,189885
37,493,22085,Spain,47332614,238218
36,495,29706,Spain,47332614,375316
35,795,45946,Spain,47332614,752768
34,864,61356,Spain,47332614,926378
33,666,76913,Spain,47332614,1093198
32,464,105408,Spain,47332614,1035506
31,520,141088,Spain,47332614,1038259
30,265,166615,Spain,47332614,1180214
29,125,180207,Spain,47332614,1605416
28,93,163030,Spain,47332614,1892405
27,92,103324,Spain,47332614,2293761
26,132,51405,Spain,47332614,2284612
25,127,25021,Spain,47332614,2116830
24,151,23842,Spain,47332614,1460835
23,305,35613,Spain,47332614,1564503
22,291,29329,Spain,47332614,1429074
21,285,32205,Spain,47332614,988359
20,281,31654,Spain,47332614,860096
19,547,37391,Spain,47332614,963029
18,576,43331,Spain,47332614,1062366
17,625,55460,Spain,47332614,1059839
16,610,61334,Spain,47332614,513068
15,653,59771,Spain,47332614,301724
14,630,46547,Spain,47332614,239302
13,688,45641,Spain,47332614,259437
12,2100,42992,Spain,47332614,470915
11,652,28628,Spain,47332614,440617
10,1120,34692,Spain,47332614,314273
41,18,4062,Sweden,10327589,98760
40,42,4141,Sweden,10327589,114744
39,37,4241,Sweden,10327589,154292
38,40,4298,Sweden,10327589,186209
37,52,6266,Sweden,10327589,272906
36,49,7972,Sweden,10327589,381498
35,26,7236,Sweden,10327589,567790
34,20,6688,Sweden,10327589,755482
33,9,6466,Sweden,10327589,816872
32,6,5820,Sweden,10327589,669955
31,7,4608,Sweden,10327589,588988
30,3,3459,Sweden,10327589,517456
29,3,2662,Sweden,10327589,409300
28,2,1881,Sweden,10327589,319368
27,3,1514,Sweden,10327589,420026
26,8,1869,Sweden,10327589,643056
25,9,1982,Sweden,10327589,696832
24,17,2848,Sweden,10327589,938580
23,22,4394,Sweden,10327589,822624
22,39,9094,Sweden,10327589,736854
21,47,7974,Sweden,10327589,577662
20,69,18169,Sweden,10327589,410564
19,111,25916,Sweden,10327589,295706
18,105,33680,Sweden,10327589,231854
17,114,35306,Sweden,10327589,55582
16,131,36032,Sweden,10327589,76984
15,140,41038,Sweden,10327589,133727
14,133,41147,Sweden,10327589,188351
13,141,38386,Sweden,10327589,137003
12,125,37881,Sweden,10327589,139351
11,127,33033,Sweden,10327589,111146
10,140,28555,Sweden,10327589,78927
